time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421854731383,22,33996.799999999996,38181.02153846154,,0.1015625,97,0
421854731639,21,33996.799999999996,38181.02153846154,,0.19921875,97,0
421854731895,20,35683.36,40075.158153846154,,0.390625,99,0
421854732151,20,35683.36,40075.158153846154,,0.2421875,101,0
421854732407,20,35683.36,40075.158153846154,,0.140625,103,0
421854732663,20,35683.36,40075.158153846154,,0.1328125,102,0
421854732919,20,36002.08,40433.10523076923,,0.11328125,101,0
421854733175,20,36002.08,40433.10523076923,,0.1171875,101,0
421854733431,20,36958.24,41506.94646153846,,0.1484375,100,0
421854733687,20,36958.24,41506.94646153846,,0.1015625,101,0
421854733943,21,33890.56,38061.70584615385,,0.09375,103,0
421854734199,22,33890.56,38061.70584615385,,0.08984375,105,0
421854734455,23,33890.56,38061.70584615385,,0.12890625,106,0
421854734711,24,32323.519999999997,36301.799384615384,,0.14453125,106,0
421854734967,23,32323.519999999997,36301.799384615384,,0.1875,106,31
421854735223,23,32323.519999999997,36301.799384615384,,0.13671875,109,0
421854735479,23,36626.24,41134.08492307692,,0.16015625,108,0
421854735735,23,36626.24,41134.08492307692,,0.19921875,107,0
421854735991,22,36626.24,41134.08492307692,,0.22265625,105,0
421854736247,22,36626.24,41134.08492307692,,0.1875,105,0
421854736503,22,36626.24,41134.08492307692,,0.2890625,105,0
421854736759,22,36626.24,41134.08492307692,,0.14453125,105,0
421854737015,23,36626.24,41134.08492307692,,0.19140625,105,0
421854737271,23,36626.24,41134.08492307692,,0.1796875,104,0
421854737527,22,30145.6,33855.82769230769,,0.1484375,104,0
421854737783,20,30145.6,33855.82769230769,,0.1484375,102,0
421854738039,18,30145.6,33855.82769230769,,0.29296875,101,0
421854738295,17,29933.12,33617.196307692306,,0.21484375,102,0
421854738551,17,29933.12,33617.196307692306,,0.40625,102,0
421854738807,17,29933.12,33617.196307692306,,0.1953125,101,0
421854739063,17,29933.12,33617.196307692306,,0.29296875,100,0
421854739319,17,30092.48,33796.16984615385,,0.46875,98,0
421854739575,17,30092.48,33796.16984615385,,0.1796875,97,0
421854739831,17,30092.48,33796.16984615385,,0.296875,95,0
421854740087,17,28246.559999999998,31723.059692307692,,0.21875,95,0
421854740343,16,28246.559999999998,31723.059692307692,,0.12109375,97,32
