Timestamp,DateTime,Latitude,Longitude,Altitude,Cadence,Distance,Speed,Breathing rate (rpm),Minute ventilation (mL/min),Heart rate (bpm)
1647971231,2022-03-22T18:47:11,49.24316321499646,3.8864296674728394,183.39999389648438,100,11256.0498046875,4.804999828338623,63.0,180704.0,193.0
1647971233,2022-03-22T18:47:13,49.243120634928346,3.886331347748637,184.60000610351562,87,11264.6298828125,4.63700008392334,59.0,170979.0,193.0
1647971235,2022-03-22T18:47:15,49.24306942149997,3.8862399011850357,185.60000610351562,90,11273.3701171875,4.61899995803833,55.0,169741.0,192.0
1647971236,2022-03-22T18:47:16,49.24304368905723,3.8861980754882097,185.8000030517578,78,11277.5498046875,4.525000095367432,55.0,160629.0,192.0
1647971238,2022-03-22T18:47:18,49.24299825914204,3.886133786290884,187.0,70,11284.4404296875,3.3310000896453857,51.0,146788.0,191.0
1647971239,2022-03-22T18:47:19,49.24297378398478,3.8861094787716866,187.60000610351562,65,11287.6796875,3.059999942779541,49.0,146788.0,190.0
1647971241,2022-03-22T18:47:21,49.242935897782445,3.886056337505579,188.1999969482422,64,11293.3798828125,2.76200008392334,47.0,133857.0,189.0
1647971244,2022-03-22T18:47:24,49.24287663772702,3.885984756052494,189.1999969482422,59,11301.7900390625,2.7899999618530273,48.0,132366.0,187.0
1647971245,2022-03-22T18:47:25,49.24285367131233,3.8859645556658506,189.60000610351562,62,11304.7197265625,2.7899999618530273,49.0,132366.0,187.0
1647971247,2022-03-22T18:47:27,49.2428123485297,3.885932620614767,190.39999389648438,61,11309.8701171875,2.76200008392334,49.0,132172.0,186.0
1647971252,2022-03-22T18:47:32,49.2427000310272,3.885841676965356,191.39999389648438,66,11324.0703125,2.5380001068115234,52.0,145177.0,185.0
1647971253,2022-03-22T18:47:33,49.24267287366092,3.885827176272869,191.60000610351562,67,11327.26953125,2.5380001068115234,51.0,144611.0,184.0
1647971257,2022-03-22T18:47:37,49.242562567815185,3.8857795670628548,192.60000610351562,72,11340.01953125,2.874000072479248,51.0,147922.0,183.0
1647971261,2022-03-22T18:47:41,49.242444299161434,3.8857369031757116,193.60000610351562,76,11353.51953125,3.0880000591278076,52.0,142359.0,182.0
1647971262,2022-03-22T18:47:42,49.24241580069065,3.885728605091572,193.8000030517578,74,11356.75,3.1440000534057617,54.0,148846.0,182.0
1647971266,2022-03-22T18:47:46,49.242287976667285,3.885719133540988,194.8000030517578,84,11370.990234375,3.302999973297119,52.0,145953.0,181.0
1647971270,2022-03-22T18:47:50,49.24214640632272,3.885727683082223,195.60000610351562,86,11386.740234375,3.563999891281128,51.0,151322.0,181.0
1647971272,2022-03-22T18:47:52,49.24207725562155,3.885730365291238,196.1999969482422,87,11394.4296875,3.7139999866485596,52.0,153858.0,180.0
1647971277,2022-03-22T18:47:57,49.241898553445935,3.885746542364359,197.1999969482422,89,11414.330078125,3.881999969482422,51.0,147519.0,180.0
1647971280,2022-03-22T18:48:00,49.241791600361466,3.8857571873813868,197.39999389648438,93,11426.240234375,3.9189999103546143,53.0,152635.0,180.0
1647971283,2022-03-22T18:48:03,49.241682048887014,3.885767413303256,198.60000610351562,94,11438.4404296875,3.927999973297119,56.0,149890.0,179.0
1647971288,2022-03-22T18:48:08,49.24149999395013,3.885775376111269,200.0,90,11458.6904296875,3.937999963760376,54.0,142895.0,179.0
1647971289,2022-03-22T18:48:09,49.241464203223586,3.8857757952064276,200.39999389648438,93,11462.669921875,3.9660000801086426,52.0,149443.0,179.0
1647971293,2022-03-22T18:48:13,49.24131643027067,3.8857838418334723,201.1999969482422,76,11479.1201171875,3.9839999675750732,51.0,151382.0,179.0
1647971297,2022-03-22T18:48:17,49.24116010777652,3.8857970852404833,202.1999969482422,85,11496.5302734375,4.067999839782715,54.0,155647.0,180.0
1647971302,2022-03-22T18:48:22,49.240914015099406,3.885818626731634,203.39999389648438,109,11523.9404296875,5.877999782562256,56.0,161345.0,182.0
1647971305,2022-03-22T18:48:25,49.24074956215918,3.8858291879296303,204.39999389648438,110,11542.240234375,6.120999813079834,53.0,155946.0,184.0
1647971308,2022-03-22T18:48:28,49.240575805306435,3.8858265057206154,205.39999389648438,113,11561.580078125,6.1020002365112305,52.0,163284.0,185.0
1647971310,2022-03-22T18:48:30,49.24046315252781,3.88580035418272,206.1999969482422,112,11574.259765625,6.1579999923706055,54.0,167967.0,186.0
1647971312,2022-03-22T18:48:32,49.24035024829209,3.8857596181333065,207.0,114,11587.16015625,6.34499979019165,56.0,174991.0,187.0
1647971316,2022-03-22T18:48:36,49.24012519419193,3.885635146871209,208.39999389648438,116,11613.7998046875,6.392000198364258,59.0,179153.0,189.0
1647971317,2022-03-22T18:48:37,49.24007188528776,3.8855937402695417,208.8000030517578,119,11620.4404296875,6.438000202178955,60.0,181181.0,189.0
1647971319,2022-03-22T18:48:39,49.23997700214386,3.8854880444705486,209.8000030517578,119,11633.5,6.456999778747559,61.0,186252.0,190.0
1647971322,2022-03-22T18:48:42,49.23984213732183,3.885299200192094,211.1999969482422,108,11653.8603515625,6.502999782562256,62.0,179615.0,191.0
1647971325,2022-03-22T18:48:45,49.239721270278096,3.8850925024598837,212.39999389648438,117,11674.0400390625,6.5970001220703125,63.0,169011.0,192.0
1647971328,2022-03-22T18:48:48,49.23962236382067,3.884873064234853,213.60000610351562,103,11693.4404296875,6.5970001220703125,63.0,172277.0,192.0
1647971329,2022-03-22T18:48:49,49.239591686055064,3.8848053384572268,214.0,104,11699.4404296875,6.065000057220459,63.0,170413.0,192.0
1647971331,2022-03-22T18:48:51,49.23953393474221,3.8846755027770996,214.8000030517578,98,11710.8701171875,5.570000171661377,62.0,164596.0,191.0
1647971335,2022-03-22T18:48:55,49.23941834829748,3.884428571909666,216.39999389648438,97,11732.9697265625,5.625999927520752,58.0,142165.0,189.0
1647971336,2022-03-22T18:48:56,49.23939102329314,3.8843663781881332,216.60000610351562,94,11738.419921875,5.570000171661377,56.0,137705.0,188.0
1647971339,2022-03-22T18:48:59,49.23931156285107,3.884197734296322,217.60000610351562,86,11753.5498046875,5.448999881744385,54.0,132455.0,186.0
1647971341,2022-03-22T18:49:01,49.23926026560366,3.88408868573606,218.0,78,11763.3203125,5.271999835968018,53.0,128279.0,185.0
1647971345,2022-03-22T18:49:05,49.23916990868747,3.883904619142413,218.8000030517578,58,11780.080078125,3.927999973297119,52.0,120807.0,182.0
1647971346,2022-03-22T18:49:06,49.23915037885308,3.8838644698262215,218.8000030517578,58,11783.7099609375,3.7880001068115234,51.0,121135.0,181.0
1647971352,2022-03-22T18:49:12,49.23904015682638,3.8836669921875,219.1999969482422,0,11802.599609375,2.8550000190734863,46.0,107578.0,176.0
1647971353,2022-03-22T18:49:13,49.23902272246778,3.8836609572172165,219.1999969482422,0,11804.349609375,2.6410000324249268,45.0,111172.0,175.0
1647971355,2022-03-22T18:49:15,49.23901157453656,3.883706219494343,219.39999389648438,0,11807.7802734375,2.378999948501587,44.0,104908.0,173.0
1647971361,2022-03-22T18:49:21,49.23910545185208,3.8838861789554358,219.39999389648438,53,11824.5703125,2.6410000324249268,46.0,122836.0,168.0
