time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421880193954,16,11991.84,13467.758769230768,,0.03515625,84,0
421880194210,16,11991.84,13467.758769230768,,0.03515625,82,0
421880194466,15,11991.84,13467.758769230768,,0.04296875,82,0
421880194722,16,12655.84,14213.481846153845,,0.06640625,80,0
421880194978,16,12655.84,14213.481846153845,,0.05859375,77,0
421880195234,16,12655.84,14213.481846153845,,0.109375,76,0
421880195490,16,12655.84,14213.481846153845,,0.0390625,76,0
421880195746,16,17011.68,19105.42523076923,,0.0234375,75,0
421880196002,15,17011.68,19105.42523076923,,0.015625,72,0
421880196258,15,17011.68,19105.42523076923,,0.0,72,0
421880196514,15,17011.68,19105.42523076923,,0.0,70,0
421880196770,15,17011.68,19105.42523076923,,0.0,71,0
421880197026,15,17011.68,19105.42523076923,,0.0,72,0
421880197282,15,15032.96,16883.170461538462,,0.0,68,0
421880197538,14,15032.96,16883.170461538462,,0.0,66,0
421880197794,14,15032.96,16883.170461538462,,0.0,65,0
421880198050,13,15032.96,16883.170461538462,,0.0,64,0
421880198306,14,14023.679999999998,15749.671384615385,,0.0,62,0
421880198562,14,14023.679999999998,15749.671384615385,,0.0,62,0
421880198818,14,14023.679999999998,15749.671384615385,,0.0,62,0
421880199074,14,13266.72,14899.547076923078,,0.0,61,0
421880199330,14,13266.72,14899.547076923078,,0.0,60,0
421880199586,14,13266.72,14899.547076923078,,0.0,59,0
421880199842,14,13266.72,14899.547076923078,,0.015625,58,0
421880200098,14,13771.359999999999,15466.296615384617,,0.0,58,0
421880200354,14,13771.359999999999,15466.296615384617,,0.0,58,0
421880200610,14,13771.359999999999,15466.296615384617,,0.0,58,0
421880200866,14,14754.08,16569.96676923077,,0.015625,58,0
421880201122,15,14754.08,16569.96676923077,,0.0,58,0
421880201378,15,15165.759999999998,17032.315076923078,,0.0,58,0
421880201634,16,15165.759999999998,17032.315076923078,,0.0,58,0
421880201890,16,15165.759999999998,17032.315076923078,,0.0,58,0
421880202146,16,15165.759999999998,17032.315076923078,,0.0,58,0
421880202402,16,9867.039999999999,11081.444923076922,,0.015625,59,0
421880202658,16,9867.039999999999,11081.444923076922,,0.0,59,0
421880202914,16,9867.039999999999,11081.444923076922,,0.0,59,0
421880203170,17,11487.199999999999,12901.009230769232,,0.0,59,0
421880203426,18,11487.199999999999,12901.009230769232,,0.0,59,0
421880203682,18,11487.199999999999,12901.009230769232,,0.015625,59,0
421880203938,19,11540.32,12960.667076923077,,0.046875,59,0
421880204194,19,11540.32,12960.667076923077,,0.02734375,59,0
421880204450,19,11885.599999999999,13348.443076923077,,0.078125,59,0
421880204706,20,11885.599999999999,13348.443076923077,,0.03125,59,0
421880204962,20,11885.599999999999,13348.443076923077,,0.05078125,59,0
421880205218,21,12137.92,13631.817846153846,,0.03515625,60,0
421880205474,21,12137.92,13631.817846153846,,0.08984375,60,0
421880205730,21,12137.92,13631.817846153846,,0.09375,62,0
421880205986,20,14076.8,15809.329230769232,,0.0546875,63,0
421880206242,20,14076.8,15809.329230769232,,0.125,65,0
421880206498,20,14076.8,15809.329230769232,,0.0859375,65,0
421880206754,20,15364.96,17256.032,,0.140625,66,0
421880207010,21,15643.84,17569.235692307695,,0.08984375,66,0
421880207266,22,15643.84,17569.235692307695,,0.12890625,66,0
421880207522,22,15643.84,17569.235692307695,,0.18359375,67,0
421880207778,22,15643.84,17569.235692307695,,0.12109375,68,0
421880208034,22,18087.36,20313.496615384614,,0.125,71,0
421880208290,22,18087.36,20313.496615384614,,0.11328125,76,0
421880208546,21,18087.36,20313.496615384614,,0.171875,74,0
421880208802,21,18087.36,20313.496615384614,,0.09765625,75,0
421880209058,21,18087.36,20313.496615384614,,0.140625,75,0
421880209314,21,18087.36,20313.496615384614,,0.23046875,74,0
421880209570,21,18087.36,20313.496615384614,1.0,0.30078125,75,0
421880209826,21,23585.28,26488.083692307693,,0.12109375,77,0
421880210082,19,23585.28,26488.083692307693,,0.16015625,79,0
421880210338,18,26015.52,29217.43015384615,,0.18359375,81,0
421880210594,18,26015.52,29217.43015384615,,0.19921875,82,0
421880210850,18,26015.52,29217.43015384615,,0.17578125,87,0
